# times, signal
2.782000000000049322e+00,9.427431887867889770e-01
2.648600000000028487e+00,9.219048718557089073e-01
2.515200000000007652e+00,9.126209206294023657e-01
2.381800000000034334e+00,9.011086656810531892e-01
2.248400000000013499e+00,8.945587078053810481e-01
2.115000000000039737e+00,9.011646354802723691e-01
1.981600000000019124e+00,9.141145826327626844e-01
1.848200000000045584e+00,9.206538752501467471e-01
1.714800000000024749e+00,9.342296478527617465e-01
1.581400000000051209e+00,9.188506798898048444e-01
1.448000000000030374e+00,9.212389444701117869e-01
1.314600000000009539e+00,9.104990105027540581e-01
1.181200000000036221e+00,8.880636189401627245e-01
1.047800000000015386e+00,8.885868277234176826e-01
9.144000000000418460e-01,8.793428426927403230e-01
7.810000000000210107e-01,8.686031095759383369e-01
7.143000000000342409e-01,8.820243840363948262e-01
6.476000000000474710e-01,8.851939310078521528e-01
5.809000000000134056e-01,9.017900140467719483e-01
5.142000000000266358e-01,9.162298128363284277e-01
4.475000000000399214e-01,9.206825601400916437e-01
3.808000000000532070e-01,9.460995473597830774e-01
3.141000000000190862e-01,9.514867010795374780e-01
2.474000000000323440e-01,9.868592686894922528e-01
1.807000000000456297e-01,9.841075344459088159e-01
1.140000000000114949e-01,9.866786713510473650e-01
-1.939999999996196156e-02,9.761654690684712365e-01
-1.527999999999828107e-01,1.008213835902206590e+00
-2.861999999999562672e-01,1.001008537892923655e+00
-4.195999999999771024e-01,1.015576112878077364e+00
-5.529999999999505311e-01,1.015674510985749457e+00
-6.863999999999714774e-01,9.947834897897769313e-01
-8.197999999999923126e-01,1.007355297721279186e+00
-9.531999999999657414e-01,1.010648882557592998e+00
-1.086599999999986688e+00,1.003031557556071762e+00
-1.219999999999960005e+00,9.841807723752794557e-01
